timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim
2025-11-27T13:23:31.719553+0000,192.168.112.2,176.65.149.154,9100,56866,TCP,flow,,9804399438809.0,,1,9,0,594,0,82.0,9,594,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:40.242741+0000,185.218.84.17,10.0.9.71,34614,64295,TCP,ssh,,42050513222584.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:40.691883+0000,110.77.221.226,10.0.9.71,41359,23,TCP,flow,telnet,688850402073954.0,,1,5,3,338,213,19.0,8,551,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:41.230245+0000,134.199.198.136,10.0.9.71,39872,5900,TCP,alert,rfb,1183354084605657.0,wire/pcap,1,4,2,284,152,0.0,6,436,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:23:41.442006+0000,91.231.222.172,10.0.9.71,47810,64295,TCP,ssh,,2028565374194627.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:41.478433+0000,134.199.198.136,10.0.9.71,39872,5900,TCP,rfb,,1183354084605657.0,wire/pcap,0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:42.690236+0000,91.231.89.237,10.0.9.71,45847,8033,TCP,flow,,1552953555749508.0,,1,4,4,272,273,2.0,8,545,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:43.705529+0000,115.231.78.3,10.0.9.71,46820,8800,TCP,flow,,1327632366772606.0,,1,5,3,338,194,1.0,8,532,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:44.670894+0000,185.242.226.63,10.0.9.71,43861,27036,UDP,flow,failed,48078056928712.0,,1,1,1,71,99,0.0,2,170,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:45.690218+0000,115.231.78.3,10.0.9.71,40932,8800,TCP,flow,,1473443977514540.0,,1,4,2,272,140,0.0,6,412,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:46.476746+0000,185.218.84.15,10.0.9.71,44994,64295,TCP,ssh,,2021542826112881.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:47.290285+0000,91.231.222.167,10.0.9.71,32598,64295,TCP,ssh,,1424606862614988.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:47.682745+0000,8.218.212.181,10.0.9.71,39844,5900,TCP,alert,rfb,1184420885531635.0,stream (flow timeout),1,5,8,350,584,0.0,13,934,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:23:47.683016+0000,8.218.212.181,10.0.9.71,39844,5900,TCP,flow,rfb,1184420885531635.0,,1,5,8,350,584,1.0,13,934,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:50.646527+0000,185.218.84.20,10.0.9.71,46662,64295,TCP,ssh,,943273176244295.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
